
 INFO Server running on [http://127.0.0.1:8001]. 

 Press Ctrl+C to stop the server
 2026-08-27 16:36:55 /build/assets/parameters-ztM766IV.js .. ~ 0.14ms
 2026-08-27 16:36:55 /admin/masters .. ~ 508.34ms
 2026-08-27 16:36:55 /build/assets/masters-IUVNmn6n.js .. ~ 0.05ms
 2026-08-27 16:36:55 /build/assets/masters-IUVNmn6n.js .. ~ 509.23ms
 2026-08-27 16:36:55 /reports .. ~ 2s
 2026-08-27 16:36:58 /build/assets/reports-B4sxctVA.js .. ~ 0.12ms
 2026-08-27 16:36:59 /build/assets/reports-B4sxctVA.js .. ~ 0.12ms
 2026-08-27 16:36:59 /trials/need-revision .. ~ 1s
 2026-08-27 16:37:01 /trials/draft .. ~ 513.91ms
 2026-08-27 16:37:01 /trials/create .. ~ 0.04ms
 2026-08-27 16:37:01 /sso/to-old .. ~ 43s
 2026-08-27 16:37:51 /sso/exchange .. ~ 513.07ms
 2026-08-27 16:37:51 /dashboard .. ~ 0.03ms
 2026-08-27 16:37:52 /build/assets/app-gwS8Gs8z.css .. ~ 0.02ms
 2026-08-27 16:37:52 /build/assets/instrument-sans-400-normal-DRC__1Mx.woff2 .. ~ 0.24ms
 2026-08-27 16:37:52 /build/assets/instrument-sans-500-normal-Dk9ku72i.woff2 .. ~ 0.71ms
 2026-08-27 16:37:52 /build/assets/instrument-sans-600-normal-B7fBEWYG.woff2 .. ~ 1.09ms
 2026-08-27 16:37:52 /build/assets/rolldown-runtime-CbXtAM7H.js .. ~ 1.31ms
 2026-08-27 16:37:52 /build/assets/app-DolNItQx.js .. ~ 1.63ms
 2026-08-27 16:37:52 /build/assets/wayfinder-DZh1HhRB.js .. ~ 0.03ms
 2026-08-27 16:37:52 /build/assets/dist-C4E0F_Zx.js .. ~ 0.07ms
 2026-08-27 16:37:52 /build/assets/button-Gg-Ut9h1.js .. ~ 0.37ms
 2026-08-27 16:37:52 /build/assets/utils-CCDJ05Ll.js .. ~ 0.64ms
 2026-08-27 16:37:52 /build/assets/dist-DYpAiMua.js .. ~ 0.91ms
 2026-08-27 16:36:59 /build/assets/rolldown-runtime-CbXtAM7H.js .. ~ 53s
 2026-08-27 16:37:52 /build/assets/es2015-BuDVKjBt.js .. ~ 1.73ms
 2026-08-27 16:37:52 /build/assets/createLucideIcon-DmbgV8gS.js .. ~ 0.04ms
 2026-08-27 16:37:52 /build/assets/app-DolNItQx.js .. ~ 0.19ms
 2026-08-27 16:37:52 /build/assets/validation-CE1VJZsf.js .. ~ 0.76ms
 2026-08-27 16:37:52 /build/assets/weighing-BMCW3w70.js .. ~ 1.14ms
 2026-08-27 16:37:52 /build/assets/wayfinder-DZh1HhRB.js .. ~ 1.47ms
 2026-08-27 16:37:52 /build/assets/attachments-CJgRV7Us.js .. ~ 1.75ms
 2026-08-27 16:37:52 /build/assets/review-BlEntY1K.js .. ~ 2.01ms
 2026-08-27 16:37:53 /build/assets/report-BP4HFjM6.js .. ~ 2.32ms
 2026-08-27 16:37:53 /build/assets/dist-C4E0F_Zx.js .. ~ 2.61ms
 2026-08-27 16:37:53 /build/assets/button-Gg-Ut9h1.js .. ~ 1.87ms
 2026-08-27 16:37:53 /build/assets/dashboard-DfOmZYM6.js .. ~ 0.95ms
 2026-08-27 16:37:53 /build/assets/utils-CCDJ05Ll.js .. ~ 0.04ms
 2026-08-27 16:37:53 /build/assets/dist-DYpAiMua.js .. ~ 0.35ms
 2026-08-27 16:37:53 /build/assets/card-BYCv6fNN.js .. ~ 0.17ms
